SN,Remarks,Raw Beacon_Type_1 Data,Date,Time,Header,Beacon_Type,SAT_Day,SAT_HRS,BAT_V,BAT_C,BAT_T,RAW_C,SOL_TOT_V,SOL_TOT_C,ANT_P_T,BPB_T,OBC_T,SOL_P1_T,SOL_P2_T,SOL_P3_T,SOL_P4_T,SOL_P5_T,MSN3_STAT,MSN2_STAT,MSN1_STAT,SOL_P5_STAT,SOL_P4_STAT,SOL_P3_STAT,SOL_P2_STAT,SOL_P1_STAT,ANT_STAT,UP_STAT,OPERATION_MODE,OBC_RST_COUNT,RST_RST_COUNT,LAST_RST,CHK_CRC
1,"November 23,2023  21:14:09 
Operator Name: sajan duwal 
Room Temperature: 12 
Room Humidity: 23 ",2023-08-02 18:06:46::::::42 4d 55 4e 41 4c 00 fe ba 91 00 03 5c 10 31 00 a9 0d 02 a4 11 6d 00 1f 00 1d 1d 1c d4 1e 1b 80 22 5a 00 00 00 00 03 f9 cf 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,2023-08-02,18:06:46,ba,1,9,3,4.188,0.049,34.97,0.2,4.516,0.109,31,0,29,29,28,212,30,27,1,0,0,0,0,0,0,0,2,2,NORMAL,0,0,3,f9
=A2+1,"November 24,2023  00:49:24 
Operator Name: sajsn 
Room Temperature: sdf 
Room Humidity: sdf ",2023-09-01 22:41:02::::::42 4d 55 4e 41 4c 00 fe ba 51 02 0b 57 10 75 01 7d 0d 01 38 11 43 00 1e 00 1c 1c 1c d4 1e 1f 80 22 5a 00 00 00 00 0b c9 42 84 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,2023-09-01,22:41:02,ba,1,37,11,4.183,0.373,34.53,0.1,4.408,0.067,30,0,28,28,28,212,30,31,1,0,0,0,0,0,0,0,2,2,NORMAL,0,0,11,c9
=A3+1,"August 25,2024  11:28:01 
Operator Name: Sajan Duwal 
Room Temperature: 16 
Room Humidity: 23 ",2023-09-28 12:25:04::::::42 4d 55 4e 41 4c 00 fe ba 01 04 01 5b 10 b5 00 21 0d 02 7c 11 4f 00 1d 00 1b 1b 1b d4 1d 19 80 22 5a 00 00 00 00 01 d8 23 fe 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,2023-09-28,12:25:04,ba,1,64,1,4.187,0.181,33.61,0.2,4.476,0.079,29,0,27,27,27,212,29,25,1,0,0,0,0,0,0,0,2,2,NORMAL,0,0,1,d8
